STATE,COUNTY,STNAME,COUNTY_NAME,YEAR,AGEGRP,POPULATION,GENDER
6,5,California,Amador,5,2,962,M
6,5,California,Amador,5,3,1112,M
6,5,California,Amador,5,4,1718,M
6,5,California,Amador,5,5,1046,M
6,5,California,Amador,5,6,1023,M
6,5,California,Amador,5,7,1223,M
6,5,California,Amador,5,8,1496,M
6,5,California,Amador,5,9,1733,M
6,5,California,Amador,5,10,1710,M
6,5,California,Amador,5,11,1596,M
6,5,California,Amador,5,12,1512,M
6,5,California,Amador,5,13,1202,M
6,5,California,Amador,5,14,982,M
6,5,California,Amador,5,15,777,M
6,5,California,Amador,5,16,671,M
6,5,California,Amador,5,17,434,M
6,5,California,Amador,5,18,278,M
6,5,California,Amador,5,99,20242,M
6,5,California,Amador,6,0,138,M
6,5,California,Amador,6,1,603,M
6,5,California,Amador,6,2,937,M
6,5,California,Amador,6,3,1101,M
6,5,California,Amador,6,4,1711,M
6,5,California,Amador,6,5,1060,M
6,5,California,Amador,6,6,1060,M
6,5,California,Amador,6,7,1218,M
6,5,California,Amador,6,8,1477,M
6,5,California,Amador,6,9,1728,M
6,5,California,Amador,6,10,1751,M
6,5,California,Amador,6,11,1641,M
6,5,California,Amador,6,12,1607,M
6,5,California,Amador,6,13,1287,M
6,5,California,Amador,6,14,1015,M
6,5,California,Amador,6,15,804,M
6,5,California,Amador,6,16,642,M
6,5,California,Amador,6,17,454,M
6,5,California,Amador,6,18,291,M
6,5,California,Amador,6,99,20525,M
6,5,California,Amador,7,0,126,M
6,5,California,Amador,7,1,570,M
6,5,California,Amador,7,2,909,M
6,5,California,Amador,7,3,1082,M
6,5,California,Amador,7,4,1689,M
6,5,California,Amador,7,5,1062,M
6,5,California,Amador,7,6,1067,M
6,5,California,Amador,7,7,1210,M
6,5,California,Amador,7,8,1469,M
6,5,California,Amador,7,9,1724,M
6,5,California,Amador,7,10,1823,M
6,5,California,Amador,7,11,1691,M
6,5,California,Amador,7,12,1689,M
6,5,California,Amador,7,13,1344,M
6,5,California,Amador,7,14,1079,M
6,5,California,Amador,7,15,814,M
6,5,California,Amador,7,16,656,M
6,5,California,Amador,7,17,480,M
6,5,California,Amador,7,18,325,M
6,5,California,Amador,7,99,20809,M
6,5,California,Amador,8,0,136,M
6,5,California,Amador,8,1,583,M
6,5,California,Amador,8,2,908,M
6,5,California,Amador,8,3,1074,M
6,5,California,Amador,8,4,1624,M
6,5,California,Amador,8,5,1051,M
6,5,California,Amador,8,6,1084,M
6,5,California,Amador,8,7,1208,M
6,5,California,Amador,8,8,1433,M
6,5,California,Amador,8,9,1712,M
6,5,California,Amador,8,10,1829,M
6,5,California,Amador,8,11,1758,M
6,5,California,Amador,8,12,1775,M
6,5,California,Amador,8,13,1411,M
6,5,California,Amador,8,14,1111,M
6,5,California,Amador,8,15,815,M
6,5,California,Amador,8,16,649,M
6,5,California,Amador,8,17,490,M
6,5,California,Amador,8,18,325,M
6,5,California,Amador,8,99,20976,M
6,5,California,Amador,9,0,138,M
6,5,California,Amador,9,1,599,M
6,5,California,Amador,9,2,881,M
6,5,California,Amador,9,3,1060,M
6,5,California,Amador,9,4,1565,M
6,5,California,Amador,9,5,1066,M
6,5,California,Amador,9,6,1096,M
6,5,California,Amador,9,7,1220,M
6,5,California,Amador,9,8,1421,M
6,5,California,Amador,9,9,1709,M
6,5,California,Amador,9,10,1887,M
6,5,California,Amador,9,11,1795,M
6,5,California,Amador,9,12,1742,M
6,5,California,Amador,9,13,1597,M
6,5,California,Amador,9,14,1138,M
6,5,California,Amador,9,15,845,M
6,5,California,Amador,9,16,632,M
6,5,California,Amador,9,17,518,M
6,5,California,Amador,9,18,332,M
6,5,California,Amador,9,99,21241,M
6,5,California,Amador,10,0,136,M
6,5,California,Amador,10,1,580,M
6,5,California,Amador,10,2,881,M
6,5,California,Amador,10,3,1012,M
6,5,California,Amador,10,4,1458,M
6,5,California,Amador,10,5,1008,M
6,5,California,Amador,10,6,1087,M
6,5,California,Amador,10,7,1118,M
6,5,California,Amador,10,8,1354,M
6,5,California,Amador,10,9,1593,M
6,5,California,Amador,10,10,1867,M
